q,a
于光明的信息,调查显示失主名叫于光明，性别：男，未婚，1987年9月30日，职业：画家。他是一个年轻而有才华的画家，他展现出对艺术的热爱和天赋，梦想着成为一名广受认可的艺术家。
其他住户,调查其他住户没有发现其他线索。
嫌疑人,侦探可以和涉案人员进行互动交流有助于推进案件进展，例如可以询问嫌疑人线索相关的，也可以和嫌疑人探询嫌疑人之间的关系。
帮助,侦探可以和涉案人员进行互动交流有助于推进案件进展，例如可以询问嫌疑人线索相关的，也可以和嫌疑人探询嫌疑人之间的关系。
搜查王美丽家,搜查需要找到嫌疑人的动机。
搜查孟远方家,搜查需要找到嫌疑人的动机。
搜查于光明家,如果需要搜查，需要找到嫌疑人的动机。
搜查徐鸣宇家,如果需要搜查，需要找到嫌疑人的动机。
搜查王美丽房子,搜查需要找到嫌疑人的动机。
搜查孟远方房子,如果需要搜查，需要找到嫌疑人的动机。
搜查孟远方房子,如果需要搜查，需要找到嫌疑人的动机。
搜查王美丽住宅,搜查需要找到嫌疑人的动机。
搜查孟远方住宅,如果需要搜查，需要找到嫌疑人的动机。
搜查于光明住宅,如果需要搜查，需要找到嫌疑人的动机。
于光明有喝酒的习惯吗,没有调查到于光明有喝酒的习惯。
本人在哪,点击输入框旁边的头像，可以找到嫌疑人聊天。
他人在哪,点击输入框旁边的头像，可以找到嫌疑人聊天。
她人在哪,点击输入框旁边的头像，可以找到嫌疑人聊天。
去哪里找人,点击输入框旁边的头像，可以找到嫌疑人聊天。
怎么跟本人聊天,点击输入框旁边的头像，可以找到嫌疑人聊天。
如何跟本人了解一下,点击输入框旁边的头像，可以找到嫌疑人聊天。
去哪找到人,点击输入框旁边的头像，可以找到嫌疑人聊天。
小区,于光明住的是一个市区公寓。
小型画廊,调查过这家画廊，画廊里展出几幅来自于光明的作品。与画廊老板交谈后得知，于光明在新人中表现还算出色，但目前没有好的机会让更多的人认识，据说于光明画室就在附近，你们可以去那看看。
调查小型画廊,调查过这家画廊，画廊里展出几幅来自于光明的作品。与画廊老板交谈后得知，于光明在新人中表现还算出色，但目前没有好的机会让更多的人认识，据说于光明画室就在附近，你们可以去那看看。
画廊,调查过这家画廊，画廊里展出几幅来自于光明的作品。与画廊老板交谈后得知，于光明在新人中表现还算出色，但目前没有好的机会让更多的人认识，据说于光明画室就在附近，你们可以去那看看。
调查于光明的画室,调查了于光明的画室，1.在他的画室角落里摆放着一个密码锁的行李箱，2.在画室桌子上发着一张谜字贴，3.在桌子的抽屉里找到一个笔记本，笔记本第一页上写着0386。
于光明的画室,调查了于光明的画室，1.在他的画室角落里摆放着一个密码锁的行李箱，2.在画室桌子上发着一张谜字贴，3.在桌子的抽屉里找到一个笔记本，笔记本第一页上写着0386。
画室,调查了于光明的画室，1.在他的画室角落里摆放着一个密码锁的行李箱，2.在画室桌子上发着一张谜字贴，3.在桌子的抽屉里找到一个笔记本，笔记本第一页上写着0386。
调查工作室,调查了于光明的工作画室，1.在他的画室角落里摆放着一个密码锁的行李箱，2.在画室桌子上发着一张谜字贴，3.在桌子的抽屉里找到一个笔记本，笔记本第一页上写着0386。
工作室,调查了于光明的工作画室，1.在他的画室角落里摆放着一个密码锁的行李箱，2.在画室桌子上发着一张谜字贴，3.在桌子的抽屉里找到一个笔记本，笔记本第一页上写着0386。
工作室,调查了于光明的工作画室，1.在他的画室角落里摆放着一个密码锁的行李箱，2.在画室桌子上发着一张谜字贴，3.在桌子的抽屉里找到一个笔记本，笔记本第一页上写着0386。
DNA,侦探太棒了，谜字贴的谜底果然是DNA。
行李箱,这是一个上锁的行李箱，需要输入密码才能打开。侦探可以点击上方线索旁边的放大镜可以输入密码。
于光明的画怎么样,我不太懂画作，侦探可以请教这方面毕竟权威的人士，或者找其他嫌疑人了解一下。
于光明是谁,调查显示失主名叫于光明，性别：男，未婚，1987年9月30日，职业：画家。他是一个年轻而有才华的画家，他展现出对艺术的热爱和天赋，梦想着成为一名广受认可的艺术家。
